SITE_ID,PATCH,PLOT,SECTION,Area_m2,Perimeter_m,P1A,P2A,IsoperimetricInequality(Q),CarbonPool,MgC/Ha,AG(MgC/Ha),BG(MgC/Ha),Soil(MgC/Ha)
RGI,2,2,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,BG,5.266112608,,,
RGI,2,3,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,BG,10.71590311,,,
RGI,2,1,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,BG,7.617949952,,,
RGI,2,2,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,BG,10.93451716,,,
RGI,2,3,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,BG,7.519692012,,,
RGI,3,1,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,BG,10.60725377,,,
RGI,3,2,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,BG,45.40648059,,,
RGI,3,3,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,BG,5.910208534,,,
RGI,3,1,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,BG,28.51690087,,,
RGI,3,2,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,BG,39.22425409,,,
RGI,3,3,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,BG,33.47846647,,,
FLS,1,1,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,Soil,264.3995088,,,
FLS,1,2,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,Soil,242.8830502,,,
FLS,1,3,Edge,1535.65,455.15,0.296389151,134.9015222,0.093152178,Soil,219.7713713,,,
FLS,1,1,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,Soil,265.1748658,,,
FLS,1,2,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,Soil,325.352636,,,
FLS,1,3,Inner,1535.65,455.15,0.296389151,134.9015222,0.093152178,Soil,281.0721694,,,
FLS,2,1,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,Soil,204.913409,,,
FLS,2,2,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,Soil,211.0653621,,,
FLS,2,3,Edge,4407.63,744.6,0.168934325,125.7884986,0.099900792,Soil,248.5151287,,,
FLS,2,1,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,Soil,214.4822995,,,
FLS,2,2,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,Soil,206.085189,,,
FLS,2,3,Inner,4407.63,744.6,0.168934325,125.7884986,0.099900792,Soil,206.2011656,,,
FLS,3,1,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,Soil,329.0313656,,,
FLS,3,2,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,Soil,270.8317517,,,
FLS,3,3,Edge,1917.08,496.73,0.259107601,128.7065187,0.097635852,Soil,285.0711697,,,
FLS,3,1,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,Soil,336.0214399,,,
FLS,3,2,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,Soil,313.013701,,,
FLS,3,3,Inner,1917.08,496.73,0.259107601,128.7065187,0.097635852,Soil,303.7099319,,,
GNP,1,1,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,Soil,170.7285851,,,
GNP,1,2,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,Soil,175.4640905,,,
GNP,1,3,Edge,2654.49,612.77,0.230842836,141.4535647,0.088837426,Soil,176.4578861,,,
GNP,1,1,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,Soil,170.4883642,,,
GNP,1,2,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,Soil,138.951688,,,
GNP,1,3,Inner,2654.49,612.77,0.230842836,141.4535647,0.088837426,Soil,177.6169234,,,
GNP,2,1,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,Soil,448.4879252,,,
GNP,2,2,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,Soil,177.778349,,,
GNP,2,3,Edge,14652.67,1403.38,0.095776401,134.4106859,0.093492348,Soil,219.3008159,,,
GNP,2,1,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,Soil,132.5168884,,,
GNP,2,2,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,Soil,202.0982737,,,
GNP,2,3,Inner,14652.67,1403.38,0.095776401,134.4106859,0.093492348,Soil,156.986414,,,
GNP,3,1,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,Soil,145.4702315,,,
GNP,3,2,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,Soil,166.8263583,,,
GNP,3,3,Edge,3676.29,548.02,0.149068762,81.69266309,0.15382496,Soil,148.6194427,,,
GNP,3,1,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,Soil,122.4249679,,,
GNP,3,2,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,Soil,152.8478869,,,
GNP,3,3,Inner,3676.29,548.02,0.149068762,81.69266309,0.15382496,Soil,117.5920211,,,
MAC,1,1,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,Soil,138.6173962,,,
MAC,1,2,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,Soil,177.0517218,,,
